alkanes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
ethane,1.53,10.376,-9.746,0.630,5.174,-1.094,-1.094,-12.100
propane,1.53,12.302,-11.675,0.627,5.177,-1.089,-1.077,-12.096
,1.53,12.302,-11.675,0.627,5.177,-1.089,-1.077,-12.096
butane,1.53,13.538,-12.910,0.628,5.183,-1.091,-1.080,-12.111
,1.53,13.538,-12.910,0.628,5.183,-1.091,-1.080,-12.111
,1.53,14.216,-13.594,0.623,5.175,-1.081,-1.058,-12.082
decane,1.53,17.061,-16.434,0.628,5.180,-1.091,-1.080,-12.105
,1.53,17.061,-16.434,0.628,5.180,-1.091,-1.080,-12.105
,1.53,19.389,-18.764,0.625,5.184,-1.086,-1.065,-12.105
,1.53,19.389,-18.764,0.625,5.184,-1.086,-1.065,-12.105
,1.53,19.793,-19.168,0.625,5.182,-1.085,-1.065,-12.100
,1.53,19.793,-19.168,0.625,5.181,-1.085,-1.065,-12.100
,1.53,19.918,-19.293,0.625,5.181,-1.085,-1.065,-12.100
,1.53,18.588,-17.965,0.623,5.178,-1.083,-1.062,-12.091
,1.53,18.588,-17.965,0.623,5.178,-1.083,-1.062,-12.091
cycloalkanes,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
cyclopropane,1.50,12.837,-12.093,0.743,5.311,-1.221,-1.172,-12.820
cyclobutane,1.55,14.205,-13.596,0.609,4.878,-1.013,-0.986,-11.567
cyclohexane,1.53,16.826,-16.208,0.618,5.130,-1.066,-1.052,-11.989
adamentane,1.54,22.306,-21.698,0.608,5.058,-1.034,-1.029,-11.828
cubane,1.56,20.022,-19.429,0.593,4.643,-0.949,-0.902,-11.153
,,,,,,,,
sterically crowded systems,,,,,,,,
system,dCC,Vbnp,V?,V(r),lv1,lv2,lv3,l?v1
Pbtth,1.69,43.655,-43.180,0.475,3.428,-0.664,-0.613,-8.351
Ptho,1.69,43.655,-43.180,0.475,3.428,-0.664,-0.613,-8.351
Bptd,1.65,41.323,-40.857,0.467,3.889,-0.740,-0.736,-9.172
Ahod,1.66,41.302,-40.843,0.459,3.836,-0.726,-0.721,-9.042
Dddcpa,1.70,50.370,-49.937,0.433,3.407,-0.628,-0.605,-8.112
Ttca,1.73,55.861,-55.454,0.407,3.194,-0.573,-0.559,-7.588
